Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star,Sales,% Change,Change
The Other Guys,2007 acura mdx,1,acura mdx,acura mdx,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1,47210.0,0.5142087369298864,Positive
The Other Guys,1999 acura tl,1,acura tl,acura tl,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,3,3,18,1,34049.0,0.012760261748958952,Positive
Jackass 3D,2009 acura tsx,1,acura tsx,acura tsx,21,"$117,052,883",Paramount Pictures,2010,0,1,1,21,1,32076.0,0.11958115183246074,Positive
Iron Man 2,2010 acura zdx,2,acura zdx,acura zdx,4,"$312,433,331",Paramount Pictures,2010,0,1,1,4,2,3259.0,40.25316455696203,Positive
Letters to Juliet,2009 audi a3 cabriolet,2,audi a3,audi a3,63,"$53,032,453",Summit Entertainment,2010,0,2,2,63,2,6558.0,0.692823954568921,Positive
Daybreakers,2005 audi a4 b7,2,audi a4,audi a4,100,"$30,101,577",Lionsgate,2010,0,3,3,100,2,34672.0,-0.06468842729970327,Negative
The Other Guys,2005 audi a4 avant b7,1,audi a4 avant,audi a4 avant,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,3,3,18,1,,,
The American,2009 audi a5 sportback b8,2,audi a5,audi a5,89,"$35,606,376",Focus Features,2010,0,2,2,89,2,16379.0,0.6713265306122449,Positive
The Karate Kid,2005 faw-audi a6 l c6,2,audi a6,audi a6,11,"$176,591,618",Sony Pictures Entertainment (SPE),2010,0,2,2,11,2,8675.0,0.2783672266430887,Positive
Iron Man 2,2008 audi a8 l d3,3,audi a8,audi a8,4,"$312,433,331",Paramount Pictures,2010,1,1,2,4,3,1521.0,0.039644565960355434,Positive
Date Night,2008 audi r8,4,audi r8,audi r8,28,"$98,711,404",Twentieth Century Fox,2010,2,0,2,28,4,799.0,0.1430615164520744,Positive
Salt,2000 audi tt,1,audi tt,audi tt,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,2,2,19,1,1531.0,-0.20878552971576228,Negative
Get Him to the Greek,bentley continental gtc,2,bentley continental gt,bentley continental gt,53,"$60,974,475",Universal Pictures,2010,0,2,2,53,2,,,
Cop Out,2008 bmw 1 cabriolet [e88],1,bmw 1,bmw 1-series,73,"$44,875,481",Warner Bros.,2010,0,1,1,73,1,13132.0,0.17438740833482383,Positive
Iron Man 2,bmw 3 [e90],1,bmw 3,bmw 3-series,4,"$312,433,331",Paramount Pictures,2010,0,20,20,4,1,100910.0,0.10938874230430959,Positive
Eat Pray Love,2001 bmw 525i [e39],2,bmw 5,bmw 5-series,38,"$80,574,010",Sony Pictures Entertainment (SPE),2010,0,18,18,38,2,39488.0,-0.01548280934453614,Negative
The Blind Side,2006 bmw 750li [e66],4,bmw 7,bmw 7-series,57,"$59,396,157",Warner Bros.,2010,1,9,10,57,4,12253.0,0.3240760752107197,Positive
Salt,2007 bmw x3 [e83],1,bmw x3,bmw x3,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1,6075.0,0.001318608867644635,Positive
The Blind Side,2004 bmw x5 [e53],3,bmw x5,bmw x5,57,"$59,396,157",Warner Bros.,2010,1,6,7,57,3,35776.0,0.32156181892061614,Positive
Burlesque,2006 bmw z4 [e85],2,bmw z4,bmw z4,87,"$37,403,047",Screen Gems,2010,0,1,1,87,2,3804.0,0.07976156684643769,Positive
Wall Street: Money Never Sleeps,2008 buick enclave,1,buick enclave,buick enclave,65,"$52,474,616",Twentieth Century Fox,2010,0,1,1,65,1,55426.0,0.28449594438006953,Positive
RED,2005 buick lacrosse,2,buick lacrosse,buick lacrosse,34,"$89,296,297",Summit Entertainment,2010,0,1,1,34,2,61178.0,1.1992235243367604,Positive
Percy Jackson & the Olympians: The Lightning Thief,2006 buick lucerne,1,buick lucerne,buick lucerne,35,"$88,768,303",Twentieth Century Fox,2010,0,2,2,35,1,26459.0,-0.15444842132174358,Negative
Valentine's Day,2004 cadillac cts,3,cadillac cts,cadillac cts,22,"$110,485,654",Warner Bros.,2010,1,1,2,22,3,45656.0,0.1761856918360512,Positive
Grown Ups,2006 cadillac dts,2,cadillac dts,cadillac dts,13,"$162,001,186",Sony Pictures Entertainment (SPE),2010,0,4,4,13,2,18640.0,0.07559145989613388,Positive
The Other Guys,2005 cadillac escalade,3,cadillac escalade,cadillac escalade,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,2,7,9,18,3,26874.0,0.03824756606397774,Positive
Takers,2006 cadillac xlr,3,cadillac xlr,cadillac xlr,60,"$57,744,720",Screen Gems,2010,1,0,1,60,3,188.0,-0.761118170266836,Negative
The Town,2007 chevrolet avalanche,3,chevrolet avalanche,chevrolet avalanche,32,"$92,155,037",Warner Bros.,2010,2,2,4,32,3,20515.0,0.24847857838364168,Positive
Salt,2005 chevrolet aveo,1,chevrolet aveo,chevrolet aveo,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,4,4,19,1,48623.0,0.2624104268356008,Positive
Valentine's Day,1998 chevrolet blazer,1,chevrolet blazer,chevrolet blazer,22,"$110,485,654",Warner Bros.,2010,0,4,4,22,1,,,
The Other Guys,1968 chevrolet camaro,2,chevrolet camaro,chevrolet camaro,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,5,5,18,2,81299.0,0.3187613547884765,Positive
Salt,2008 chevrolet cobalt,1,chevrolet cobalt,chevrolet cobalt,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,7,7,19,1,97376.0,-0.07016538711279172,Negative
The Town,2009 chevrolet colorado,1,chevrolet colorado,chevrolet colorado,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1,24642.0,-0.23974948323203654,Negative
Toy Story 3,1998 chevrolet corvette c5,3,chevrolet corvette,chevrolet corvette,2,"$415,004,880",Walt Disney Studios Motion Pictures,2010,2,1,3,2,3,12624.0,-0.09401464044782547,Negative
Date Night,2005 chevrolet equinox,1,chevrolet equinox,chevrolet equinox,28,"$98,711,404",Twentieth Century Fox,2010,0,2,2,28,1,149979.0,0.740945814180248,Positive
Salt,2003 chevrolet express,2,chevrolet express,chevrolet express,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,2,2,19,2,,,
Salt,2006 chevrolet hhr,1,chevrolet hhr,chevrolet hhr,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,5,5,19,1,75401.0,0.06435447898139522,Positive
Valentine's Day,1966 chevrolet impala,3,chevrolet impala,chevrolet impala,22,"$110,485,654",Warner Bros.,2010,2,22,24,22,3,172078.0,0.039338024340893306,Positive
Little Fockers,2010 chevrolet malibu,3,chevrolet malibu,chevrolet malibu,37,"$84,557,425",Universal Pictures,2010,1,17,18,37,3,198770.0,0.23025599128540306,Positive
Due Date,2002 chevrolet silverado,3,chevrolet silverado,chevrolet silverado,26,"$98,935,039",Warner Bros.,2010,1,3,4,26,3,370135.0,0.16930031843914276,Positive
Crazy Heart,1977 chevrolet suburban,4,chevrolet suburban,chevrolet suburban,84,"$38,983,106",Fox Searchlight Pictures,2010,8,14,22,84,4,45152.0,0.09979296066252588,Positive
Salt,2005 chevrolet tahoe,3,chevrolet tahoe,chevrolet tahoe,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,3,14,17,19,3,75675.0,0.03304938979441396,Positive
The Town,2006 chevrolet trailblazer,1,chevrolet trailblazer,chevrolet trailblazer,32,"$92,155,037",Warner Bros.,2010,0,2,2,32,1,218.0,-0.9753086419753086,Negative
The Town,2009 chevrolet traverse,1,chevrolet traverse,chevrolet traverse,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1,106744.0,0.1720578869929947,Positive
Daybreakers,2008 chrysler 300,4,chrysler 300,chrysler 300,100,"$30,101,577",Lionsgate,2010,2,9,11,100,4,37116.0,-0.038595037040874476,Negative
The Town,2009 chrysler aspen,1,chrysler aspen,chrysler aspen,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1,30.0,-0.994996664442962,Negative
Kick-Ass,2003 chrysler pt cruiser,2,chrysler pt cruiser,chrysler pt cruiser,70,"$48,071,303",Lionsgate,2010,0,6,6,70,2,9440.0,-0.47383089013990304,Negative
Up in the Air,2007 chrysler sebring,2,chrysler sebring,chrysler sebring,68,"$50,168,168",Paramount Pictures,2010,0,9,9,68,2,35585.0,0.29588492352512746,Positive
Marmaduke,2008 chrysler town & country,3,chrysler town & country,chrysler town & country,91,"$33,644,788",Twentieth Century Fox,2010,1,2,3,91,3,112275.0,0.32778684453274676,Positive
Salt,2008 dodge avenger,1,dodge avenger,dodge avenger,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,3,3,19,1,50923.0,0.3083346179538564,Positive
The Other Guys,2007 dodge caliber,1,dodge caliber,dodge caliber,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,4,4,18,1,45082.0,0.24887805418582748,Positive
The Bounty Hunter,1970 dodge challenger,1,dodge challenger,dodge challenger,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,0,1,1,47,1,36791.0,0.4231394089432152,Positive
The Town,2006 dodge charger,3,dodge charger,dodge charger,32,"$92,155,037",Warner Bros.,2010,2,6,8,32,3,75397.0,0.2431287200540799,Positive
Unstoppable,2003 dodge dakota,2,dodge dakota,dodge dakota,41,"$79,104,757",Twentieth Century Fox,2010,0,1,1,41,2,13047.0,0.2204864359214219,Positive
The Expendables,1998 dodge durango,3,dodge durango,dodge durango,25,"$103,068,524",Lionsgate,2010,1,2,3,25,3,572.0,-0.8375461516614598,Negative
Takers,1991 dodge grand caravan,1,dodge grand caravan,dodge grand caravan,60,"$57,744,720",Screen Gems,2010,0,3,3,60,1,103323.0,0.1396002911786116,Positive
Due Date,2009 dodge journey,1,dodge journey,dodge journey,26,"$98,935,039",Warner Bros.,2010,0,3,3,26,1,48577.0,-0.09751792813881767,Negative
Salt,2009 dodge ram,2,dodge ram,dodge ram,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,11,11,19,2,199652.0,0.1262720852043234,Positive
Letters to Juliet,2009 fiat 500 c,3,fiat 500,fiat 500,63,"$53,032,453",Summit Entertainment,2010,1,0,1,63,3,,,
Cop Out,2006 ford crown victoria,4,ford crown victoria,ford crown victoria,73,"$44,875,481",Warner Bros.,2010,13,66,79,73,4,33722.0,0.014043001052473312,Positive
Inception,2003 ford e-350,4,ford e-,ford e-series,6,"$292,558,188",Warner Bros.,2010,3,12,15,6,4,,,
Dear John,2008 ford edge,1,ford edge,ford edge,40,"$80,014,842",Screen Gems,2010,0,3,3,40,1,118637.0,0.3398043998735149,Positive
The Back-up Plan,2008 ford escape hybrid,3,ford escape,ford escape,86,"$37,490,007",CBS Films,2010,1,11,12,86,3,191026.0,0.10391576708813943,Positive
Get Him to the Greek,2008 ford expedition el stretched limousine gen.3,3,ford expedition,ford expedition,53,"$60,974,475",Universal Pictures,2010,1,2,3,53,3,37336.0,0.17946611909650925,Positive
The Other Guys,1999 ford explorer,2,ford explorer,ford explorer,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,12,12,18,2,60687.0,0.16280896723510252,Positive
The Expendables,1955 ford f-100,3,ford f-,ford f-series,25,"$103,068,524",Lionsgate,2010,9,40,49,25,3,528349.0,0.2773623451193714,Positive
Harry Potter and the Deathly Hallows: Part 1,2000 ford fiesta mkiv,1,ford fiesta,ford fiesta,7,"$280,230,127",Warner Bros.,2010,0,3,3,7,1,,,
Kick-Ass,2009 ford flex,2,ford flex,ford flex,70,"$48,071,303",Lionsgate,2010,0,1,1,70,2,34227.0,-0.11596972905958623,Negative
Vampires Suck,2010 ford focus,2,ford focus,ford focus,88,"$36,661,504",Twentieth Century Fox,2010,0,14,14,88,2,172421.0,0.07472278147263967,Positive
Date Night,2010 ford fusion,2,ford fusion,ford fusion,28,"$98,711,404",Twentieth Century Fox,2010,0,7,7,28,2,219219.0,0.21336019615765672,Positive
Kick-Ass,2009 ford mustang,3,ford mustang,ford mustang,70,"$48,071,303",Lionsgate,2010,1,14,15,70,3,73716.0,0.10646473440103267,Positive
Edge of Darkness,1995 ford ranger,1,ford ranger,ford ranger,76,"$43,313,890",Warner Bros.,2010,0,2,2,76,1,55364.0,-0.004244604316546763,Negative
Charlie St. Cloud,1996 ford taurus,4,ford taurus,ford taurus,97,"$31,162,545",Universal Pictures,2010,1,18,19,97,4,68859.0,0.5095030361488042,Positive
The Town,2008 ford taurus x,1,ford taurus x,ford taurus x,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1,12.0,-0.9980347199475925,Negative
Yogi Bear,2007 ford transit mkv,1,ford transit,ford transit,61,"$57,418,550",Warner Bros.,2010,0,3,3,61,1,,,
Valentine's Day,2010 ford transit connect,3,ford transit connect,ford transit connect,22,"$110,485,654",Warner Bros.,2010,1,0,1,22,3,,,
Takers,2006 gmc canyon,1,gmc canyon,gmc canyon,60,"$57,744,720",Screen Gems,2010,0,1,1,60,1,7992.0,-0.20926090828138913,Negative
Salt,2003 gmc savana,2,gmc savana,gmc savana,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,6,6,19,2,,,
Yogi Bear,2007 gmc sierra,1,gmc sierra,gmc sierra,61,"$57,418,550",Warner Bros.,2010,0,1,1,61,1,129794.0,0.16051215107025982,Positive
Hot Tub Time Machine,2007 gmc yukon denali,3,gmc yukon,gmc yukon,67,"$50,287,556",Metro-Goldwyn-Mayer (MGM),2010,1,6,7,67,3,28781.0,-0.021420556934480296,Negative
The Other Guys,1996 honda accord,1,honda accord,honda accord,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,23,23,18,1,311381.0,0.07352028573792647,Positive
The A-Team,1986 honda civic,2,honda civic,honda civic,42,"$77,222,099",Twentieth Century Fox,2010,0,21,21,42,2,260218.0,0.0019097342543180785,Positive
Tooth Fairy,1998 honda cr-v,3,honda cr-v,honda cr-v,56,"$60,022,256",Twentieth Century Fox,2010,1,4,5,56,3,203714.0,0.06537178240087023,Positive
The Bounty Hunter,2007 honda fit,1,honda fit,honda fit,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,0,3,3,47,1,54354.0,-0.19254252395454208,Negative
The Town,2002 honda odyssey,1,honda odyssey,honda odyssey,32,"$92,155,037",Warner Bros.,2010,0,3,3,32,1,108182.0,0.08038309048964877,Positive
Wall Street: Money Never Sleeps,2003 honda pilot,1,honda pilot,honda pilot,65,"$52,474,616",Twentieth Century Fox,2010,0,2,2,65,1,102323.0,0.21956830073539052,Positive
Jackass 3D,2005 hummer h2 sut,1,hummer h2,hummer h2,21,"$117,052,883",Paramount Pictures,2010,0,2,2,21,1,151.0,-0.900198281559815,Negative
The Town,2009 hyundai accent,1,hyundai accent,hyundai accent,32,"$92,155,037",Warner Bros.,2010,0,3,3,32,1,51975.0,-0.23662720676791116,Negative
Salt,2001 hyundai elantra,1,hyundai elantra,hyundai elantra,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,7,7,19,1,132246.0,0.28059727507770965,Positive
Inception,2009 hyundai genesis,3,hyundai genesis,hyundai genesis,6,"$292,558,188",Warner Bros.,2010,1,0,1,6,3,29122.0,0.3304399470053451,Positive
Hereafter,2006 hyundai sonata,2,hyundai sonata,hyundai sonata,93,"$32,684,455",Warner Bros.,2010,0,10,10,93,2,196623.0,0.6381427666877728,Positive
The Other Guys,hyundai tucson,1,hyundai tucson,hyundai tucson,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,4,4,18,1,39594.0,1.569203815456492,Positive
Edge of Darkness,2008 infiniti ex35,1,infiniti ex,infiniti ex/qx50,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1,8312.0,0.045534591194968554,Positive
Salt,2003 infiniti fx,1,infiniti fx,infiniti qx70/fx,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1,10420.0,-0.05478955007256894,Negative
Salt,2005 infiniti g35,1,infiniti g,infiniti g,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,6,6,19,1,58143.0,0.23252215203289947,Positive
Marmaduke,2009 jaguar xf [x250],1,jaguar xf,jaguar xf,91,"$33,644,788",Twentieth Century Fox,2010,0,1,1,91,1,6925.0,-0.18414231856738925,Negative
The Karate Kid,jaguar xj [x350],1,jaguar xj,jaguar xj,11,"$176,591,618",Sony Pictures Entertainment (SPE),2010,0,6,6,11,1,4278.0,2.6847545219638245,Positive
A Nightmare on Elm Street,1997 jeep cherokee,3,jeep cherokee,jeep cherokee,50,"$63,075,011",Warner Bros.,2010,1,2,3,50,3,,,
Salt,2006 jeep commander,1,jeep commander,jeep commander,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1,8115.0,-0.3587514816278151,Negative
The Town,1993 jeep grand cherokee,3,jeep grand cherokee,jeep grand cherokee,32,"$92,155,037",Warner Bros.,2010,1,12,13,32,3,84635.0,0.6816682562390717,Positive
Dear John,2002 jeep liberty,2,jeep liberty,jeep liberty,40,"$80,014,842",Screen Gems,2010,0,4,4,40,2,49564.0,0.13932372480058847,Positive
The Twilight Saga: Eclipse,2007 jeep wrangler unlimited,2,jeep wrangler,jeep wrangler,5,"$300,531,751",Summit Entertainment,2010,0,9,9,5,2,94310.0,0.14950514358149286,Positive
Salt,2007 kia amanti,2,kia amanti,kia amanti,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,2,281.0,-0.9241360691144709,Negative
Death at a Funeral,2003 kia optima,1,kia optima,kia optima,77,"$42,739,347",Screen Gems,2010,0,1,1,77,1,27382.0,-0.27033868947691,Negative
Date Night,2006 kia rio,1,kia rio,kia rio,28,"$98,711,404",Twentieth Century Fox,2010,0,4,4,28,1,24619.0,-0.28982288120925404,Negative
The Expendables,2006 kia sedona,1,kia sedona,kia sedona,25,"$103,068,524",Lionsgate,2010,0,1,1,25,1,21823.0,-0.20348200598583838,Negative
Due Date,2004 kia spectra,1,kia spectra,kia spectra,26,"$98,935,039",Warner Bros.,2010,0,4,4,26,1,272.0,-0.9942267691132147,Negative
The Expendables,land-rover defender 130 crew cab,3,land-rover defender,land rover defender,25,"$103,068,524",Lionsgate,2010,2,2,4,25,3,,,
The Other Guys,2006 land-rover range rover series iii,3,land-rover range rover,land rover range rover,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,4,5,9,18,3,8746.0,0.19611597374179432,Positive
